"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"07/04/2024 09:00 - 07/04/2024 09:30","Ireland (IE)","3269.17","3694.00"
"07/04/2024 09:30 - 07/04/2024 10:00","Ireland (IE)","3380.53","3729.00"
"07/04/2024 10:00 - 07/04/2024 10:30","Ireland (IE)","3392.43","3770.00"
"07/04/2024 10:30 - 07/04/2024 11:00","Ireland (IE)","3448.87","3811.00"
"07/04/2024 11:00 - 07/04/2024 11:30","Ireland (IE)","3550.21","3855.00"
"07/04/2024 11:30 - 07/04/2024 12:00","Ireland (IE)","3566.25","3898.00"
"07/04/2024 12:00 - 07/04/2024 12:30","Ireland (IE)","3586.66","3926.00"
"07/04/2024 12:30 - 07/04/2024 13:00","Ireland (IE)","3603.72","3954.00"
"07/04/2024 13:00 - 07/04/2024 13:30","Ireland (IE)","3629.94","3960.00"
"07/04/2024 13:30 - 07/04/2024 14:00","Ireland (IE)","3652.08","3967.00"
"07/04/2024 14:00 - 07/04/2024 14:30","Ireland (IE)","3724.99","3946.00"
"07/04/2024 14:30 - 07/04/2024 15:00","Ireland (IE)","3666.09","3925.00"
"07/04/2024 15:00 - 07/04/2024 15:30","Ireland (IE)","3554.02","3900.00"
"07/04/2024 15:30 - 07/04/2024 16:00","Ireland (IE)","3567.64","3874.00"
"07/04/2024 16:00 - 07/04/2024 16:30","Ireland (IE)","3583.01","3885.00"
"07/04/2024 16:30 - 07/04/2024 17:00","Ireland (IE)","3563.48","3897.00"
"07/04/2024 17:00 - 07/04/2024 17:30","Ireland (IE)","3584.70","3927.00"
"07/04/2024 17:30 - 07/04/2024 18:00","Ireland (IE)","3666.23","3958.00"
"07/04/2024 18:00 - 07/04/2024 18:30","Ireland (IE)","3748.88","3967.00"
"07/04/2024 18:30 - 07/04/2024 19:00","Ireland (IE)","3822.68","3977.00"
"07/04/2024 19:00 - 07/04/2024 19:30","Ireland (IE)","N/A","3978.00"
"07/04/2024 19:30 - 07/04/2024 20:00","Ireland (IE)","N/A","3978.00"
"07/04/2024 20:00 - 07/04/2024 20:30","Ireland (IE)","3968.05","3969.00"
"07/04/2024 20:30 - 07/04/2024 21:00","Ireland (IE)","3994.50","3959.00"
"07/04/2024 21:00 - 07/04/2024 21:30","Ireland (IE)","4027.95","3980.00"
"07/04/2024 21:30 - 07/04/2024 22:00","Ireland (IE)","4067.00","4002.00"
"07/04/2024 22:00 - 07/04/2024 22:30","Ireland (IE)","4099.36","3909.00"
"07/04/2024 22:30 - 07/04/2024 23:00","Ireland (IE)","4009.51","3817.00"
"07/04/2024 23:00 - 07/04/2024 23:30","Ireland (IE)","3831.62","3735.00"
"07/04/2024 23:30 - 08/04/2024 00:00","Ireland (IE)","3659.33","3654.00"
"08/04/2024 00:00 - 08/04/2024 00:30","Ireland (IE)","3496.19","3598.00"
"08/04/2024 00:30 - 08/04/2024 01:00","Ireland (IE)","3346.70","3543.00"
"08/04/2024 01:00 - 08/04/2024 01:30","Ireland (IE)","3268.71","3518.00"
"08/04/2024 01:30 - 08/04/2024 02:00","Ireland (IE)","3253.93","3493.00"
"08/04/2024 02:00 - 08/04/2024 02:30","Ireland (IE)","3182.02","3474.00"
"08/04/2024 02:30 - 08/04/2024 03:00","Ireland (IE)","3153.94","3454.00"
"08/04/2024 03:00 - 08/04/2024 03:30","Ireland (IE)","3096.97","3436.00"
"08/04/2024 03:30 - 08/04/2024 04:00","Ireland (IE)","3111.62","3418.00"
"08/04/2024 04:00 - 08/04/2024 04:30","Ireland (IE)","3062.25","3407.00"
"08/04/2024 04:30 - 08/04/2024 05:00","Ireland (IE)","3048.24","3395.00"
"08/04/2024 05:00 - 08/04/2024 05:30","Ireland (IE)","3049.30","3418.00"
"08/04/2024 05:30 - 08/04/2024 06:00","Ireland (IE)","3039.04","3440.00"
"08/04/2024 06:00 - 08/04/2024 06:30","Ireland (IE)","3063.23","3538.00"
"08/04/2024 06:30 - 08/04/2024 07:00","Ireland (IE)","3122.18","3637.00"
"08/04/2024 07:00 - 08/04/2024 07:30","Ireland (IE)","3268.24","3788.00"
"08/04/2024 07:30 - 08/04/2024 08:00","Ireland (IE)","3478.33","3940.00"
"08/04/2024 08:00 - 08/04/2024 08:30","Ireland (IE)","3746.08","4151.00"
"08/04/2024 08:30 - 08/04/2024 09:00","Ireland (IE)","4071.35","4362.00"
"08/04/2024 09:00 - 08/04/2024 09:30","Ireland (IE)","4300.14","4484.00"
"08/04/2024 09:30 - 08/04/2024 10:00","Ireland (IE)","4396.47","4605.00"
"08/04/2024 10:00 - 08/04/2024 10:30","Ireland (IE)","4455.73","4591.00"
"08/04/2024 10:30 - 08/04/2024 11:00","Ireland (IE)","4526.76","4576.00"
"08/04/2024 11:00 - 08/04/2024 11:30","Ireland (IE)","4533.16","4540.00"
"08/04/2024 11:30 - 08/04/2024 12:00","Ireland (IE)","4540.91","4504.00"
"08/04/2024 12:00 - 08/04/2024 12:30","Ireland (IE)","4552.14","4487.00"
"08/04/2024 12:30 - 08/04/2024 13:00","Ireland (IE)","4568.71","4470.00"
"08/04/2024 13:00 - 08/04/2024 13:30","Ireland (IE)","4564.30","4442.00"
"08/04/2024 13:30 - 08/04/2024 14:00","Ireland (IE)","4611.48","4414.00"
"08/04/2024 14:00 - 08/04/2024 14:30","Ireland (IE)","4614.18","4384.00"
"08/04/2024 14:30 - 08/04/2024 15:00","Ireland (IE)","4569.06","4355.00"
"08/04/2024 15:00 - 08/04/2024 15:30","Ireland (IE)","4517.34","4368.00"
"08/04/2024 15:30 - 08/04/2024 16:00","Ireland (IE)","4515.68","4380.00"
"08/04/2024 16:00 - 08/04/2024 16:30","Ireland (IE)","4531.26","4433.00"
"08/04/2024 16:30 - 08/04/2024 17:00","Ireland (IE)","4576.61","4486.00"
"08/04/2024 17:00 - 08/04/2024 17:30","Ireland (IE)","4564.58","4555.00"
"08/04/2024 17:30 - 08/04/2024 18:00","Ireland (IE)","4646.49","4625.00"
"08/04/2024 18:00 - 08/04/2024 18:30","Ireland (IE)","4730.14","4619.00"
"08/04/2024 18:30 - 08/04/2024 19:00","Ireland (IE)","4766.68","4613.00"
"08/04/2024 19:00 - 08/04/2024 19:30","Ireland (IE)","4794.79","4550.00"
"08/04/2024 19:30 - 08/04/2024 20:00","Ireland (IE)","4731.21","4487.00"
"08/04/2024 20:00 - 08/04/2024 20:30","Ireland (IE)","4660.18","4426.00"
"08/04/2024 20:30 - 08/04/2024 21:00","Ireland (IE)","4628.05","4365.00"
"08/04/2024 21:00 - 08/04/2024 21:30","Ireland (IE)","4573.48","4370.00"
"08/04/2024 21:30 - 08/04/2024 22:00","Ireland (IE)","4561.95","4376.00"
"08/04/2024 22:00 - 08/04/2024 22:30","Ireland (IE)","4461.87","4235.00"
"08/04/2024 22:30 - 08/04/2024 23:00","Ireland (IE)","4292.93","4094.00"
"08/04/2024 23:00 - 08/04/2024 23:30","Ireland (IE)","4134.29","3929.00"
"08/04/2024 23:30 - 09/04/2024 00:00","Ireland (IE)","3914.49","3763.00"
"09/04/2024 00:00 - 09/04/2024 00:30","Ireland (IE)","3735.48","3705.00"
"09/04/2024 00:30 - 09/04/2024 01:00","Ireland (IE)","3622.39","3648.00"
"09/04/2024 01:00 - 09/04/2024 01:30","Ireland (IE)","3512.88","3623.00"
"09/04/2024 01:30 - 09/04/2024 02:00","Ireland (IE)","3530.10","3599.00"
"09/04/2024 02:00 - 09/04/2024 02:30","Ireland (IE)","3459.14","3577.00"
"09/04/2024 02:30 - 09/04/2024 03:00","Ireland (IE)","3440.90","3556.00"
"09/04/2024 03:00 - 09/04/2024 03:30","Ireland (IE)","3359.86","3537.00"
"09/04/2024 03:30 - 09/04/2024 04:00","Ireland (IE)","3381.73","3517.00"
"09/04/2024 04:00 - 09/04/2024 04:30","Ireland (IE)","3320.95","3504.00"
"09/04/2024 04:30 - 09/04/2024 05:00","Ireland (IE)","3303.56","3491.00"
"09/04/2024 05:00 - 09/04/2024 05:30","Ireland (IE)","3279.50","3509.00"
"09/04/2024 05:30 - 09/04/2024 06:00","Ireland (IE)","3265.77","3526.00"
"09/04/2024 06:00 - 09/04/2024 06:30","Ireland (IE)","3287.72","3599.00"
"09/04/2024 06:30 - 09/04/2024 07:00","Ireland (IE)","3353.63","3672.00"
"09/04/2024 07:00 - 09/04/2024 07:30","Ireland (IE)","3404.61","3846.00"
"09/04/2024 07:30 - 09/04/2024 08:00","Ireland (IE)","3737.77","4020.00"
"09/04/2024 08:00 - 09/04/2024 08:30","Ireland (IE)","3952.64","4263.00"
"09/04/2024 08:30 - 09/04/2024 09:00","Ireland (IE)","4274.07","4505.00"
"09/04/2024 09:00 - 09/04/2024 09:30","Ireland (IE)","4413.89","4579.00"
"09/04/2024 09:30 - 09/04/2024 10:00","Ireland (IE)","4468.40","4653.00"
"09/04/2024 10:00 - 09/04/2024 10:30","Ireland (IE)","4444.69","4631.00"
"09/04/2024 10:30 - 09/04/2024 11:00","Ireland (IE)","4421.62","4609.00"
"09/04/2024 11:00 - 09/04/2024 11:30","Ireland (IE)","4341.94","4570.00"
"09/04/2024 11:30 - 09/04/2024 12:00","Ireland (IE)","4291.64","4530.00"
"09/04/2024 12:00 - 09/04/2024 12:30","Ireland (IE)","4256.92","4518.00"
"09/04/2024 12:30 - 09/04/2024 13:00","Ireland (IE)","4237.02","4505.00"
"09/04/2024 13:00 - 09/04/2024 13:30","Ireland (IE)","4205.88","4475.00"
"09/04/2024 13:30 - 09/04/2024 14:00","Ireland (IE)","4158.08","4445.00"
"09/04/2024 14:00 - 09/04/2024 14:30","Ireland (IE)","4150.75","4396.00"
"09/04/2024 14:30 - 09/04/2024 15:00","Ireland (IE)","4061.75","4347.00"
"09/04/2024 15:00 - 09/04/2024 15:30","Ireland (IE)","4036.98","4364.00"
"09/04/2024 15:30 - 09/04/2024 16:00","Ireland (IE)","3969.69","4381.00"
"09/04/2024 16:00 - 09/04/2024 16:30","Ireland (IE)","3988.97","4444.00"
"09/04/2024 16:30 - 09/04/2024 17:00","Ireland (IE)","4014.67","4506.00"
"09/04/2024 17:00 - 09/04/2024 17:30","Ireland (IE)","4029.52","4572.00"
"09/04/2024 17:30 - 09/04/2024 18:00","Ireland (IE)","4157.29","4637.00"
"09/04/2024 18:00 - 09/04/2024 18:30","Ireland (IE)","N/A","4631.00"
"09/04/2024 18:30 - 09/04/2024 19:00","Ireland (IE)","N/A","4624.00"
"09/04/2024 19:00 - 09/04/2024 19:30","Ireland (IE)","4294.53","4572.00"
"09/04/2024 19:30 - 09/04/2024 20:00","Ireland (IE)","4282.16","4519.00"
"09/04/2024 20:00 - 09/04/2024 20:30","Ireland (IE)","4283.01","4458.00"
"09/04/2024 20:30 - 09/04/2024 21:00","Ireland (IE)","4340.09","4396.00"
"09/04/2024 21:00 - 09/04/2024 21:30","Ireland (IE)","4320.52","4411.00"
"09/04/2024 21:30 - 09/04/2024 22:00","Ireland (IE)","4390.36","4427.00"
"09/04/2024 22:00 - 09/04/2024 22:30","Ireland (IE)","4480.09","4275.00"
"09/04/2024 22:30 - 09/04/2024 23:00","Ireland (IE)","4322.58","4122.00"
"09/04/2024 23:00 - 09/04/2024 23:30","Ireland (IE)","4135.50","3956.00"
"09/04/2024 23:30 - 10/04/2024 00:00","Ireland (IE)","3929.18","3789.00"
"10/04/2024 00:00 - 10/04/2024 00:30","Ireland (IE)","3720.60","3720.00"
"10/04/2024 00:30 - 10/04/2024 01:00","Ireland (IE)","3578.99","3651.00"
"10/04/2024 01:00 - 10/04/2024 01:30","Ireland (IE)","3454.56","3634.00"
"10/04/2024 01:30 - 10/04/2024 02:00","Ireland (IE)","3442.99","3618.00"
"10/04/2024 02:00 - 10/04/2024 02:30","Ireland (IE)","3360.46","3599.00"
"10/04/2024 02:30 - 10/04/2024 03:00","Ireland (IE)","3309.31","3581.00"
"10/04/2024 03:00 - 10/04/2024 03:30","Ireland (IE)","3235.43","3559.00"
"10/04/2024 03:30 - 10/04/2024 04:00","Ireland (IE)","3245.52","3538.00"
"10/04/2024 04:00 - 10/04/2024 04:30","Ireland (IE)","3180.86","3523.00"
"10/04/2024 04:30 - 10/04/2024 05:00","Ireland (IE)","3140.10","3509.00"
"10/04/2024 05:00 - 10/04/2024 05:30","Ireland (IE)","3106.69","3529.00"
"10/04/2024 05:30 - 10/04/2024 06:00","Ireland (IE)","3069.31","3548.00"
"10/04/2024 06:00 - 10/04/2024 06:30","Ireland (IE)","3103.52","3606.00"
"10/04/2024 06:30 - 10/04/2024 07:00","Ireland (IE)","3176.78","3664.00"
"10/04/2024 07:00 - 10/04/2024 07:30","Ireland (IE)","3314.52","3850.00"
"10/04/2024 07:30 - 10/04/2024 08:00","Ireland (IE)","3519.90","4037.00"
"10/04/2024 08:00 - 10/04/2024 08:30","Ireland (IE)","3804.26","4287.00"
"10/04/2024 08:30 - 10/04/2024 09:00","Ireland (IE)","4158.99","4538.00"
"10/04/2024 09:00 - 10/04/2024 09:30","Ireland (IE)","4368.87","4605.00"
"10/04/2024 09:30 - 10/04/2024 10:00","Ireland (IE)","4485.92","4673.00"
"10/04/2024 10:00 - 10/04/2024 10:30","Ireland (IE)","4537.49","4647.00"
"10/04/2024 10:30 - 10/04/2024 11:00","Ireland (IE)","4556.81","4621.00"
"10/04/2024 11:00 - 10/04/2024 11:30","Ireland (IE)","4533.83","4582.00"
"10/04/2024 11:30 - 10/04/2024 12:00","Ireland (IE)","4538.81","4544.00"
"10/04/2024 12:00 - 10/04/2024 12:30","Ireland (IE)","4471.23","4526.00"
"10/04/2024 12:30 - 10/04/2024 13:00","Ireland (IE)","4440.34","4508.00"
"10/04/2024 13:00 - 10/04/2024 13:30","Ireland (IE)","4396.03","4471.00"
"10/04/2024 13:30 - 10/04/2024 14:00","Ireland (IE)","4417.96","4435.00"
"10/04/2024 14:00 - 10/04/2024 14:30","Ireland (IE)","4401.02","4393.00"
"10/04/2024 14:30 - 10/04/2024 15:00","Ireland (IE)","4344.18","4351.00"
"10/04/2024 15:00 - 10/04/2024 15:30","Ireland (IE)","4343.84","4365.00"
"10/04/2024 15:30 - 10/04/2024 16:00","Ireland (IE)","4312.44","4378.00"
"10/04/2024 16:00 - 10/04/2024 16:30","Ireland (IE)","4333.90","4443.00"
"10/04/2024 16:30 - 10/04/2024 17:00","Ireland (IE)","4360.14","4507.00"
"10/04/2024 17:00 - 10/04/2024 17:30","Ireland (IE)","4377.98","4566.00"
"10/04/2024 17:30 - 10/04/2024 18:00","Ireland (IE)","4441.50","4625.00"
"10/04/2024 18:00 - 10/04/2024 18:30","Ireland (IE)","N/A","4617.00"
"10/04/2024 18:30 - 10/04/2024 19:00","Ireland (IE)","N/A","4608.00"
"10/04/2024 19:00 - 10/04/2024 19:30","Ireland (IE)","4617.53","4559.00"
"10/04/2024 19:30 - 10/04/2024 20:00","Ireland (IE)","4584.30","4509.00"
"10/04/2024 20:00 - 10/04/2024 20:30","Ireland (IE)","4543.69","4453.00"
"10/04/2024 20:30 - 10/04/2024 21:00","Ireland (IE)","4518.38","4397.00"
"10/04/2024 21:00 - 10/04/2024 21:30","Ireland (IE)","4465.42","4411.00"
"10/04/2024 21:30 - 10/04/2024 22:00","Ireland (IE)","4507.27","4426.00"
"10/04/2024 22:00 - 10/04/2024 22:30","Ireland (IE)","4472.03","4275.00"
"10/04/2024 22:30 - 10/04/2024 23:00","Ireland (IE)","4293.53","4124.00"
"10/04/2024 23:00 - 10/04/2024 23:30","Ireland (IE)","4067.97","3961.00"
"10/04/2024 23:30 - 11/04/2024 00:00","Ireland (IE)","3877.09","3798.00"
"11/04/2024 00:00 - 11/04/2024 00:30","Ireland (IE)","3659.59","3730.00"
"11/04/2024 00:30 - 11/04/2024 01:00","Ireland (IE)","3529.47","3661.00"
"11/04/2024 01:00 - 11/04/2024 01:30","Ireland (IE)","3385.41","3648.00"
"11/04/2024 01:30 - 11/04/2024 02:00","Ireland (IE)","3404.10","3636.00"
"11/04/2024 02:00 - 11/04/2024 02:30","Ireland (IE)","3322.88","3611.00"
"11/04/2024 02:30 - 11/04/2024 03:00","Ireland (IE)","3258.20","3587.00"
"11/04/2024 03:00 - 11/04/2024 03:30","Ireland (IE)","3223.87","3568.00"
"11/04/2024 03:30 - 11/04/2024 04:00","Ireland (IE)","3226.72","3548.00"
"11/04/2024 04:00 - 11/04/2024 04:30","Ireland (IE)","3183.10","3534.00"
"11/04/2024 04:30 - 11/04/2024 05:00","Ireland (IE)","3155.42","3520.00"
"11/04/2024 05:00 - 11/04/2024 05:30","Ireland (IE)","N/A","3539.00"
"11/04/2024 05:30 - 11/04/2024 06:00","Ireland (IE)","N/A","3557.00"
"11/04/2024 06:00 - 11/04/2024 06:30","Ireland (IE)","3158.89","3605.00"
"11/04/2024 06:30 - 11/04/2024 07:00","Ireland (IE)","3248.99","3652.00"
"11/04/2024 07:00 - 11/04/2024 07:30","Ireland (IE)","3379.49","3848.00"
"11/04/2024 07:30 - 11/04/2024 08:00","Ireland (IE)","3559.38","4045.00"
"11/04/2024 08:00 - 11/04/2024 08:30","Ireland (IE)","3801.41","4293.00"
"11/04/2024 08:30 - 11/04/2024 09:00","Ireland (IE)","4139.33","4541.00"
"11/04/2024 09:00 - 11/04/2024 09:30","Ireland (IE)","4306.00","4606.00"
"11/04/2024 09:30 - 11/04/2024 10:00","Ireland (IE)","4383.41","4671.00"
"11/04/2024 10:00 - 11/04/2024 10:30","Ireland (IE)","4386.88","4646.00"
"11/04/2024 10:30 - 11/04/2024 11:00","Ireland (IE)","4378.57","4621.00"
"11/04/2024 11:00 - 11/04/2024 11:30","Ireland (IE)","4317.87","4580.00"
"11/04/2024 11:30 - 11/04/2024 12:00","Ireland (IE)","4275.82","4539.00"
"11/04/2024 12:00 - 11/04/2024 12:30","Ireland (IE)","N/A","4526.00"
"11/04/2024 12:30 - 11/04/2024 13:00","Ireland (IE)","N/A","4513.00"
"11/04/2024 13:00 - 11/04/2024 13:30","Ireland (IE)","4176.72","4479.00"
"11/04/2024 13:30 - 11/04/2024 14:00","Ireland (IE)","4221.55","4446.00"
"11/04/2024 14:00 - 11/04/2024 14:30","Ireland (IE)","4211.23","4404.00"
"11/04/2024 14:30 - 11/04/2024 15:00","Ireland (IE)","4172.45","4362.00"
"11/04/2024 15:00 - 11/04/2024 15:30","Ireland (IE)","4197.11","4377.00"
"11/04/2024 15:30 - 11/04/2024 16:00","Ireland (IE)","4239.85","4392.00"
"11/04/2024 16:00 - 11/04/2024 16:30","Ireland (IE)","4269.52","4456.00"
"11/04/2024 16:30 - 11/04/2024 17:00","Ireland (IE)","4316.46","4521.00"
"11/04/2024 17:00 - 11/04/2024 17:30","Ireland (IE)","4343.32","4573.00"
"11/04/2024 17:30 - 11/04/2024 18:00","Ireland (IE)","4433.99","4625.00"
"11/04/2024 18:00 - 11/04/2024 18:30","Ireland (IE)","4501.90","4616.00"
"11/04/2024 18:30 - 11/04/2024 19:00","Ireland (IE)","4584.63","4608.00"
"11/04/2024 19:00 - 11/04/2024 19:30","Ireland (IE)","4537.50","4561.00"
"11/04/2024 19:30 - 11/04/2024 20:00","Ireland (IE)","4489.21","4514.00"
"11/04/2024 20:00 - 11/04/2024 20:30","Ireland (IE)","4430.73","4464.00"
"11/04/2024 20:30 - 11/04/2024 21:00","Ireland (IE)","4373.17","4415.00"
"11/04/2024 21:00 - 11/04/2024 21:30","Ireland (IE)","4328.90","4427.00"
"11/04/2024 21:30 - 11/04/2024 22:00","Ireland (IE)","4362.87","4439.00"
"11/04/2024 22:00 - 11/04/2024 22:30","Ireland (IE)","4352.55","4283.00"
"11/04/2024 22:30 - 11/04/2024 23:00","Ireland (IE)","4184.77","4127.00"
"11/04/2024 23:00 - 11/04/2024 23:30","Ireland (IE)","4010.54","3964.00"
"11/04/2024 23:30 - 12/04/2024 00:00","Ireland (IE)","3814.35","3801.00"
"12/04/2024 00:00 - 12/04/2024 00:30","Ireland (IE)","3653.44","3727.00"
"12/04/2024 00:30 - 12/04/2024 01:00","Ireland (IE)","3509.24","3653.00"
"12/04/2024 01:00 - 12/04/2024 01:30","Ireland (IE)","N/A","3644.00"
"12/04/2024 01:30 - 12/04/2024 02:00","Ireland (IE)","N/A","3635.00"
"12/04/2024 02:00 - 12/04/2024 02:30","Ireland (IE)","3292.96","3611.00"
"12/04/2024 02:30 - 12/04/2024 03:00","Ireland (IE)","3266.76","3588.00"
"12/04/2024 03:00 - 12/04/2024 03:30","Ireland (IE)","3182.20","3565.00"
"12/04/2024 03:30 - 12/04/2024 04:00","Ireland (IE)","3188.68","3543.00"
"12/04/2024 04:00 - 12/04/2024 04:30","Ireland (IE)","3130.78","3527.00"
"12/04/2024 04:30 - 12/04/2024 05:00","Ireland (IE)","3119.01","3511.00"
"12/04/2024 05:00 - 12/04/2024 05:30","Ireland (IE)","3093.24","3530.00"
"12/04/2024 05:30 - 12/04/2024 06:00","Ireland (IE)","3092.92","3548.00"
"12/04/2024 06:00 - 12/04/2024 06:30","Ireland (IE)","3125.35","3599.00"
"12/04/2024 06:30 - 12/04/2024 07:00","Ireland (IE)","3184.36","3650.00"
"12/04/2024 07:00 - 12/04/2024 07:30","Ireland (IE)","3289.48","3837.00"
"12/04/2024 07:30 - 12/04/2024 08:00","Ireland (IE)","3492.48","4024.00"
"12/04/2024 08:00 - 12/04/2024 08:30","Ireland (IE)","3762.59","4263.00"
"12/04/2024 08:30 - 12/04/2024 09:00","Ireland (IE)","4048.91","4501.00"
"12/04/2024 09:00 - 12/04/2024 09:30","Ireland (IE)","4247.96","4578.00"
"12/04/2024 09:30 - 12/04/2024 10:00","Ireland (IE)","4340.94","4655.00"
"12/04/2024 10:00 - 12/04/2024 10:30","Ireland (IE)","4355.22","4636.00"
"12/04/2024 10:30 - 12/04/2024 11:00","Ireland (IE)","4386.90","4616.00"
"12/04/2024 11:00 - 12/04/2024 11:30","Ireland (IE)","4339.97","4578.00"
"12/04/2024 11:30 - 12/04/2024 12:00","Ireland (IE)","4312.77","4540.00"
"12/04/2024 12:00 - 12/04/2024 12:30","Ireland (IE)","4320.85","4524.00"
"12/04/2024 12:30 - 12/04/2024 13:00","Ireland (IE)","4302.61","4507.00"
"12/04/2024 13:00 - 12/04/2024 13:30","Ireland (IE)","4285.13","4474.00"
"12/04/2024 13:30 - 12/04/2024 14:00","Ireland (IE)","4287.27","4441.00"
"12/04/2024 14:00 - 12/04/2024 14:30","Ireland (IE)","4296.13","4376.00"
"12/04/2024 14:30 - 12/04/2024 15:00","Ireland (IE)","4261.62","4312.00"
"12/04/2024 15:00 - 12/04/2024 15:30","Ireland (IE)","4213.75","4306.00"
"12/04/2024 15:30 - 12/04/2024 16:00","Ireland (IE)","4183.02","4300.00"
"12/04/2024 16:00 - 12/04/2024 16:30","Ireland (IE)","4124.39","4349.00"
"12/04/2024 16:30 - 12/04/2024 17:00","Ireland (IE)","4131.58","4399.00"
"12/04/2024 17:00 - 12/04/2024 17:30","Ireland (IE)","4133.94","4446.00"
"12/04/2024 17:30 - 12/04/2024 18:00","Ireland (IE)","4221.92","4493.00"
"12/04/2024 18:00 - 12/04/2024 18:30","Ireland (IE)","4260.49","4474.00"
"12/04/2024 18:30 - 12/04/2024 19:00","Ireland (IE)","4298.31","4455.00"
"12/04/2024 19:00 - 12/04/2024 19:30","Ireland (IE)","4286.00","4380.00"
"12/04/2024 19:30 - 12/04/2024 20:00","Ireland (IE)","4290.50","4305.00"
"12/04/2024 20:00 - 12/04/2024 20:30","Ireland (IE)","N/A","4260.00"
"12/04/2024 20:30 - 12/04/2024 21:00","Ireland (IE)","N/A","4215.00"
"12/04/2024 21:00 - 12/04/2024 21:30","Ireland (IE)","4168.03","4215.00"
"12/04/2024 21:30 - 12/04/2024 22:00","Ireland (IE)","4193.45","4216.00"
"12/04/2024 22:00 - 12/04/2024 22:30","Ireland (IE)","4206.65","4119.00"
"12/04/2024 22:30 - 12/04/2024 23:00","Ireland (IE)","4097.94","4023.00"
"12/04/2024 23:00 - 12/04/2024 23:30","Ireland (IE)","3940.23","3885.00"
"12/04/2024 23:30 - 13/04/2024 00:00","Ireland (IE)","3782.26","3746.00"
"13/04/2024 00:00 - 13/04/2024 00:30","Ireland (IE)","3631.70","3701.00"
"13/04/2024 00:30 - 13/04/2024 01:00","Ireland (IE)","3509.47","3655.00"
"13/04/2024 01:00 - 13/04/2024 01:30","Ireland (IE)","3415.65","3654.00"
"13/04/2024 01:30 - 13/04/2024 02:00","Ireland (IE)","3374.59","3652.00"
"13/04/2024 02:00 - 13/04/2024 02:30","Ireland (IE)","3299.91","3620.00"
"13/04/2024 02:30 - 13/04/2024 03:00","Ireland (IE)","3238.54","3589.00"
"13/04/2024 03:00 - 13/04/2024 03:30","Ireland (IE)","3168.17","3558.00"
"13/04/2024 03:30 - 13/04/2024 04:00","Ireland (IE)","3183.95","3527.00"
"13/04/2024 04:00 - 13/04/2024 04:30","Ireland (IE)","3099.43","3500.00"
"13/04/2024 04:30 - 13/04/2024 05:00","Ireland (IE)","3040.47","3474.00"
"13/04/2024 05:00 - 13/04/2024 05:30","Ireland (IE)","3021.96","3479.00"
"13/04/2024 05:30 - 13/04/2024 06:00","Ireland (IE)","3031.19","3483.00"
"13/04/2024 06:00 - 13/04/2024 06:30","Ireland (IE)","3001.62","3546.00"
"13/04/2024 06:30 - 13/04/2024 07:00","Ireland (IE)","3050.93","3609.00"
"13/04/2024 07:00 - 13/04/2024 07:30","Ireland (IE)","3098.26","3657.00"
"13/04/2024 07:30 - 13/04/2024 08:00","Ireland (IE)","3162.57","3705.00"
"13/04/2024 08:00 - 13/04/2024 08:30","Ireland (IE)","3238.22","3781.00"
"13/04/2024 08:30 - 13/04/2024 09:00","Ireland (IE)","3374.33","3857.00"
"13/04/2024 09:00 - 13/04/2024 09:30","Ireland (IE)","3547.71","3927.00"
"13/04/2024 09:30 - 13/04/2024 10:00","Ireland (IE)","3697.95","3998.00"
"13/04/2024 10:00 - 13/04/2024 10:30","Ireland (IE)","3774.16","4036.00"
"13/04/2024 10:30 - 13/04/2024 11:00","Ireland (IE)","3847.60","4075.00"
"13/04/2024 11:00 - 13/04/2024 11:30","Ireland (IE)","3890.79","4087.00"
"13/04/2024 11:30 - 13/04/2024 12:00","Ireland (IE)","3860.68","4099.00"
"13/04/2024 12:00 - 13/04/2024 12:30","Ireland (IE)","3815.86","4098.00"
"13/04/2024 12:30 - 13/04/2024 13:00","Ireland (IE)","3809.36","4098.00"
"13/04/2024 13:00 - 13/04/2024 13:30","Ireland (IE)","3783.44","4075.00"
"13/04/2024 13:30 - 13/04/2024 14:00","Ireland (IE)","3783.56","4053.00"
"13/04/2024 14:00 - 13/04/2024 14:30","Ireland (IE)","3734.29","4021.00"
"13/04/2024 14:30 - 13/04/2024 15:00","Ireland (IE)","3692.36","3989.00"
"13/04/2024 15:00 - 13/04/2024 15:30","Ireland (IE)","3575.02","3972.00"
"13/04/2024 15:30 - 13/04/2024 16:00","Ireland (IE)","3504.61","3954.00"
"13/04/2024 16:00 - 13/04/2024 16:30","Ireland (IE)","3483.26","3970.00"
"13/04/2024 16:30 - 13/04/2024 17:00","Ireland (IE)","3485.30","3986.00"
"13/04/2024 17:00 - 13/04/2024 17:30","Ireland (IE)","3461.57","4024.00"
"13/04/2024 17:30 - 13/04/2024 18:00","Ireland (IE)","3561.64","4062.00"
"13/04/2024 18:00 - 13/04/2024 18:30","Ireland (IE)","3646.53","4073.00"
"13/04/2024 18:30 - 13/04/2024 19:00","Ireland (IE)","3720.72","4083.00"
"13/04/2024 19:00 - 13/04/2024 19:30","Ireland (IE)","3792.09","4057.00"
"13/04/2024 19:30 - 13/04/2024 20:00","Ireland (IE)","3824.59","4031.00"
